Podcast,Episode Name,Stream Link
"5 - Harry Potter und der Orden des Phönix","Im Eberkopf","https://s3.castbox.fm/41/96/90/9636584a8b812df6f0de83c065.mp3"
"5 - Harry Potter und der Orden des Phönix","Ausbildungserlass Nummer vierundzwanzig","https://s3.castbox.fm/ed/3a/c9/276efd48a8bb0778eafacca191.mp3"
"5 - Harry Potter und der Orden des Phönix","Dumbledores Armee","https://s3.castbox.fm/c5/01/f7/c9e71f487e9e4f81cabe8f5f06.mp3"
"5 - Harry Potter und der Orden des Phönix","Der Löwe und die Schlange","https://s3.castbox.fm/84/85/5e/0c9b7b4531bf3ac12ff0d2a396.mp3"
"5 - Harry Potter und der Orden des Phönix","Hagrids Geschichte","https://s3.castbox.fm/38/34/6a/96f4564d19ab6bb1639a21c8c8.mp3"
"5 - Harry Potter und der Orden des Phönix","Das Auge der Schlange","https://s3.castbox.fm/ff/2f/31/3bd5cf488aa5d7191a8c34bbca.mp3"
"5 - Harry Potter und der Orden des Phönix","St. Mungo - Hospital für Magische Krankheiten und Verletzungen","https://s3.castbox.fm/ae/14/1c/b19e274a9e9c9c4cefff64d8be.mp3"
"5 - Harry Potter und der Orden des Phönix","Weihnachten auf der geschlossenen Station","https://s3.castbox.fm/71/ad/43/1d2eee446bbd1486b95635cab6.mp3"
"5 - Harry Potter und der Orden des Phönix","Okklumentik","https://s3.castbox.fm/c2/25/cd/6d65bb4fc39f3ba6e2b7994f4f.mp3"
"5 - Harry Potter und der Orden des Phönix","Der Käfer in der Klemme","https://s3.castbox.fm/57/78/2b/db4d7943cd93bc547aafe1bf76.mp3"
"5 - Harry Potter und der Orden des Phönix","Gesehen - unvorhergesehen","https://s3.castbox.fm/1a/3b/e1/4d74174f6c91460a940cac08d7.mp3"
"5 - Harry Potter und der Orden des Phönix","Der Zentaur und die Petze","https://s3.castbox.fm/95/2b/ba/f667f74142b8f62005d03c3688.mp3"
"5 - Harry Potter und der Orden des Phönix","Snapes schlimmste Erinnerung","https://s3.castbox.fm/73/f8/2b/0cb9dc42dcafcb59eefac6698a.mp3"
"5 - Harry Potter und der Orden des Phönix","Berufsberatung","https://s3.castbox.fm/30/b7/39/5d8984435b9bb3e9133c998d03.mp3"
"5 - Harry Potter und der Orden des Phönix","Grawp","https://s3.castbox.fm/22/ee/cc/e84e4a49abad57e01cc102abcc.mp3"
"5 - Harry Potter und der Orden des Phönix","ZAGs","https://s3.castbox.fm/fb/90/1f/89f40147c7bbd4282b1b38f2ae.mp3"
"5 - Harry Potter und der Orden des Phönix","Aus dem Feuer","https://s3.castbox.fm/5c/5c/7c/0074dd477e8b265d8581b40659.mp3"
"5 - Harry Potter und der Orden des Phönix","Kampf und Flucht","https://s3.castbox.fm/ce/f4/92/af5d30404f8935bee27057d2f2.mp3"
"5 - Harry Potter und der Orden des Phönix","Die Mysteriumsabteilung","https://s3.castbox.fm/d0/b2/51/3a3aaf4c8b8a3be33ee8db74e4.mp3"
"5 - Harry Potter und der Orden des Phönix","Jenseits des Schleiers","https://s3.castbox.fm/63/62/3d/4246014ef686ecac06f3d48248.mp3"
"5 - Harry Potter und der Orden des Phönix","Der Einzige, den er je fürchtete","https://s3.castbox.fm/70/58/ce/e603fc444fa6d605438121ede1.mp3"
"5 - Harry Potter und der Orden des Phönix","Die verlorene Prophezeiung","https://s3.castbox.fm/f6/e1/0c/4640b741798f19bb12b879225c.mp3"
"5 - Harry Potter und der Orden des Phönix","Der zweite Krieg beginnt","https://s3.castbox.fm/76/1c/54/4d1135453687fd00f8a0194fbe.mp3"
